local_date,local_time,altitude,temp,dewpoint,wind_speed_kmh,wind_dir_deg,pressure_hpa,THR_m_s,THS_m_s,PBLH_m,wind_dir
2025-02-17,06:00,9,-0.4,-3.9,22,94,1022,0,0.0,0,E
2025-02-17,06:00,32,-0.6,-4.1,23,94,1019,0,0.0,0,E
2025-02-17,06:00,74,-0.8,-4.6,25,94,1014,0,0.0,0,E
2025-02-17,06:00,132,-1.2,-5.2,28,94,1006,0,0.0,0,E
2025-02-17,06:00,202,-1.6,-5.9,31,95,998,0,0.0,0,E
2025-02-17,06:00,284,-1.7,-7.0,32,96,987,0,0.0,0,E
2025-02-17,06:00,379,-1.7,-8.2,32,98,976,0,0.0,0,E
2025-02-17,06:00,480,-2.0,-9.1,31,99,963,0,0.0,0,E
2025-02-17,06:00,581,-2.3,-10.0,30,98,951,0,0.0,0,E
2025-02-17,06:00,688,-2.7,-11.0,29,97,938,0,0.0,0,E
2025-02-17,06:00,792,-3.2,-12.1,28,96,926,0,0.0,0,E
2025-02-17,06:00,898,-3.6,-13.4,26,95,914,0,0.0,0,E
2025-02-17,06:00,1005,-4.0,-14.9,24,93,902,0,0.0,0,E
2025-02-17,06:00,1113,-4.3,-16.5,22,92,889,0,0.0,0,E
2025-02-17,06:00,1227,-4.5,-18.2,19,90,876,0,0.0,0,E
2025-02-17,06:00,1347,-4.6,-20.0,17,86,863,0,0.0,0,E
2025-02-17,06:00,1469,-4.6,-22.1,14,81,850,0,0.0,0,E
2025-02-17,06:00,1589,-4.6,-23.9,12,67,837,0,0.0,0,ENE
2025-02-17,06:00,1715,-4.6,-25.9,11,48,824,0,0.0,0,NE
2025-02-17,06:00,1848,-4.5,-28.1,12,26,810,0,0.0,0,NNE
2025-02-17,06:00,1983,-4.6,-30.6,14,11,796,0,0.0,0,N
2025-02-17,06:00,2126,-4.8,-33.6,15,1,782,0,0.0,0,N
2025-02-17,06:00,2281,-5.2,-36.6,18,354,766,0,0.0,0,N
2025-02-17,06:00,2444,-5.7,-38.7,21,349,751,0,0.0,0,N
2025-02-17,06:00,2611,-6.1,-36.7,25,342,735,0,0.0,0,NNW
2025-02-17,06:00,2792,-6.7,-34.1,29,337,718,0,0.0,0,NNW
2025-02-17,06:00,2987,-7.4,-31.4,34,333,700,0,0.0,0,NNW
2025-02-17,06:00,3204,-8.6,-30.0,37,328,681,0,0.0,0,NNW
2025-02-17,06:00,3466,-10.2,-29.6,40,325,658,0,0.0,0,NW
2025-02-17,06:00,3802,-11.8,-32.1,42,327,630,0,0.0,0,NNW
2025-02-17,06:00,4220,-13.9,-36.5,44,331,597,0,0.0,0,NNW
2025-02-17,06:00,4715,-17.7,-36.6,47,327,559,0,0.0,0,NNW
2025-02-17,06:00,5299,-22.7,-41.8,50,315,516,0,0.0,0,NW
2025-02-17,06:00,5932,-28.0,-38.5,60,311,473,0,0.0,0,NW
2025-02-17,06:00,6560,-32.8,-37.9,66,318,433,0,0.0,0,NW
2025-02-17,06:00,7155,-37.4,-41.7,68,323,398,0,0.0,0,NW
2025-02-17,06:00,7673,-42.1,-45.8,74,319,369,0,0.0,0,NW
2025-02-17,07:00,9,-1.2,-5.3,10,92,1022,10,0.15,239,E
2025-02-17,07:00,32,-1.5,-5.3,19,92,1019,12,0.22,239,E
2025-02-17,07:00,74,-1.8,-5.5,23,93,1014,15,0.22,239,E
2025-02-17,07:00,131,-1.9,-5.9,29,96,1006,17,0.16,239,E
2025-02-17,07:00,201,-1.9,-6.5,32,98,997,18,0.04,239,E
2025-02-17,07:00,283,-1.8,-7.4,33,100,987,0,0.0,239,E
2025-02-17,07:00,379,-1.8,-8.4,32,102,975,0,0.0,239,ESE
2025-02-17,07:00,479,-2.1,-9.3,30,103,963,0,0.0,239,ESE
2025-02-17,07:00,580,-2.5,-10.1,28,102,951,0,0.0,239,ESE
2025-02-17,07:00,687,-2.9,-11.1,27,102,938,0,0.0,239,ESE
2025-02-17,07:00,792,-3.4,-12.2,26,100,926,0,0.0,239,E
2025-02-17,07:00,897,-3.8,-13.6,24,99,914,0,0.0,239,E
2025-02-17,07:00,1004,-4.2,-15.2,22,97,901,0,0.0,239,E
2025-02-17,07:00,1112,-4.4,-17.0,20,95,889,0,0.0,239,E
2025-02-17,07:00,1226,-4.6,-18.9,17,94,876,0,0.0,239,E
2025-02-17,07:00,1346,-4.7,-21.1,14,91,863,0,0.0,239,E
2025-02-17,07:00,1468,-4.7,-23.2,11,86,850,0,0.0,239,E
2025-02-17,07:00,1587,-4.7,-24.7,9,72,837,0,0.0,239,ENE
2025-02-17,07:00,1713,-4.6,-26.3,9,48,824,0,0.0,239,NE
2025-02-17,07:00,1846,-4.6,-28.1,10,26,810,0,0.0,239,NNE
2025-02-17,07:00,1982,-4.7,-30.4,12,12,796,0,0.0,239,NNE
2025-02-17,07:00,2124,-4.9,-33.4,14,3,782,0,0.0,239,N
2025-02-17,07:00,2279,-5.3,-36.2,16,356,766,0,0.0,239,N
2025-02-17,07:00,2442,-5.8,-37.7,19,350,750,0,0.0,239,N
2025-02-17,07:00,2609,-6.2,-35.8,23,344,735,0,0.0,239,NNW
2025-02-17,07:00,2790,-6.7,-33.6,28,340,718,0,0.0,239,NNW
2025-02-17,07:00,2985,-7.4,-31.6,33,337,700,0,0.0,239,NNW
2025-02-17,07:00,3202,-8.5,-30.2,36,331,681,0,0.0,239,NNW
2025-02-17,07:00,3464,-10.0,-30.0,40,327,658,0,0.0,239,NNW
2025-02-17,07:00,3800,-11.7,-32.6,42,326,630,0,0.0,239,NW
2025-02-17,07:00,4218,-14.1,-37.1,44,328,596,0,0.0,239,NNW
